gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G85789,"Sunnyside, WA",85789,Washington,West Region,Pacific Division,Y2017,0,0,4,3,1,0,0,0
G85843,"Superior, AZ",85843,Arizona,West Region,Mountain Division,Y2017,0,0,2,0,0,0,0,0
G86356,"Taft, TX",86356,Texas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G87263,"The Dalles, OR--WA",87263,Oregon,West Region,Pacific Division,Y2017,0,0,3,4,0,0,0,0
G87301,"Thermopolis, WY",87301,Wyoming,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G87571,"Ticonderoga, NY",87571,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,0,0,0,0,0
G87598,"Tiffin, OH",87598,Ohio,Midwest Region,East North Central Division,Y2017,0,0,3,2,0,0,0,0
G87652,"Tillamook, OR",87652,Oregon,West Region,Pacific Division,Y2017,0,0,2,2,0,0,0,0
G87669,"Tipton, CA",87669,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G87733,"Tipton, MO",87733,Missouri,Midwest Region,West North Central Division,Y2017,0,0,1,0,0,0,0,0
G87895,"Toledo, OR",87895,Oregon,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G88057,"Tooele, UT",88057,Utah,West Region,Mountain Division,Y2017,0,0,2,3,1,0,1,0
